order_id,date,client_id,produit,categorie,prix_unitaire,quantite,ville,canal,chiffre_affaires
59,2024-12-19,428,Disque SSD,Informatique,169.82,10,Girard,Web,1698.2
60,2025-06-19,357,Clavier,Informatique,-67.01,1,Valette,Web,-67.01
61,2025-06-12,286,Batterie externe,Audio,124.77,1,Pariss,Boutique,124.77
62,2025-07-19,463,Webcam HD,Informatique,6.59,5,Diaz,Boutique,32.95
63,2025-08-31,225,Chargeur rapide,Informatique,74.23,1,Lemoine,Web,74.23
64,2025-05-24,439,Enceinte Bluetooth,Informatique,50.02,1,,Boutique,50.02
65,2024-12-29,271,Enceinte Bluetooth,Informatique,64.58,5,Huet,Web,322.9
66,2025-01-22,453,Chargeur rapide,Informatique,73.12,2,Deschampsboeuf,Web,146.24
67,2025-08-07,241,Batterie externe,Informatique,119.28,1,Sainte Aurélienec,Web,119.28
68,2025-10-07,144,Câble USB-C,Audio,151.15,2,Saint Richardnec,Web,302.3
69,2024-12-23,205,Webcam HD,Informatique,62.56,1,Morel,Web,62.56
70,2024-12-18,279,Casque Bluetooth,Informatique,103.73,1,Guyon,Boutique,103.73
71,2025-10-04,297,Câble USB-C,Informatique,72.93,2,Henry,Boutique,145.86
72,2025-04-11,348,Écran 24 pouces,Informatqiue,24.93,5,,Boutique,124.65
73,2024-12-18,199,Clavier,Informatqiue,143.12,3,Saint Alain,Web,429.36
74,2025-10-08,374,Disque SSD,Audio,29.34,1,RenaultBourg,Web,29.34
75,2025-08-26,287,Écran 24 pouces,Informatique,123.07,0,Sanchez,Web,0.0
76,2024-12-22,334,Disque SSD,Informatique,-161.49,1,Millet,Web,-161.49
77,2025-04-05,85,Disque SSD,Informatqiue,156.53,1,Guilbert,Web,156.53
78,2025-08-29,347,Écran 24 pouces,Informatique,86.84,3,Pariss,Boutique,260.52
79,2025-03-10,220,Câble USB-C,Informatqiue,67.24,1,Rémy-la-Forêt,Boutique,67.24
80,2025-10-04,434,Webcam HD,Informatique,73.2,2,Chauvetdan,Web,146.4
81,2025-06-24,388,Chargeur rapide,Informatique,160.96,1,Deschampsboeuf,Web,160.96
82,2025-09-17,349,Câble USB-C,Audio,22.22,2,Grégoireboeuf,Boutique,44.44
83,2025-07-01,163,Chargeur rapide,Informatique,106.87,2,Rivière,Boutique,213.74
84,2025-01-19,295,Chargeur rapide,Informatique,46.04,1,GrégoireBourg,Web,46.04
85,2025-02-22,389,Casque Bluetooth,Audio,128.34,2,Bouchet-la-Forêt,Marketplace,256.68
86,2025-05-24,317,Câble USB-C,Audio,113.3,3,Sanchezboeuf,Boutique,339.9
87,2025-01-04,137,Webcam HD,Informatique,70.42,2,,Web,140.84
88,2024-12-20,77,Clavier,Informatique,117.23,10,LegrosBourg,Boutique,1172.3
89,2025-05-25,477,Batterie externe,Audio,68.85,3,Pariss,Boutique,206.55
90,2025-06-21,7,Écran 24 pouces,Informatique,63.5,10,Pariss,Marketplace,635.0
91,2025-03-02,271,Batterie externe,Audio,90.92,3,Turpin,Web,272.76
92,2024-12-26,67,Chargeur rapide,Accessoire,80.95,1,,Web,80.95
93,2025-08-07,26,Casque Bluetooth,Audio,202.9,5,Lopezdan,Web,1014.5
94,2025-05-18,402,Souris,Informatique,95.38,0,Regnier-sur-Nicolas,Web,0.0
95,2025-10-07,354,Webcam HD,Audio,-17.12,1,Regnier-sur-Nicolas,Web,-17.12
96,2025-04-14,396,Webcam HD,Informatique,34.27,5,,Boutique,171.35
97,2025-08-01,300,Écran 24 pouces,Informatique,81.35,1,Simon,Boutique,81.35
98,2025-09-13,120,Souris,Informatique,-125.15,2,Meunier,Web,-250.3
99,2025-04-17,401,Écran 24 pouces,Audio,109.14,3,,Web,327.42
100,2025-09-14,477,Chargeur rapide,Audio,160.01,1,Saint HenrietteVille,Boutique,160.01
101,2024-12-02,94,Disque SSD,Informatique,130.36,3,,Web,391.08
102,2025-09-27,356,Enceinte Bluetooth,Informatique,45.35,2,BuissonVille,Boutique,90.7
103,2025-04-02,187,Webcam HD,Audio,65.85,2,Sainte Caroline-la-Forêt,Boutique,131.7
104,2024-12-20,369,Batterie externe,Informatique,144.8,2,Bouchet-la-Forêt,Web,289.6
105,2024-12-08,26,Câble USB-C,Audio,102.7,-1,Aubry-sur-Rivière,Web,-102.7
106,2025-10-17,135,Enceinte Bluetooth,Accessoire,21.44,10,,Boutique,214.4
107,2025-02-18,63,Chargeur rapide,Audio,145.86,5,Toussaintdan,Boutique,729.3
108,2025-08-04,330,Écran 24 pouces,Informatique,120.51,5,,Web,602.55
109,2025-08-05,212,Disque SSD,Informatique,118.81,3,Saint Thomasdan,Web,356.43
110,2025-10-12,289,Enceinte Bluetooth,Informatique,24.83,2,Foucher-la-Forêt,Web,49.66
111,2025-06-12,232,Batterie externe,Accessoire,11.38,3,Berger,Marketplace,34.14
112,2024-12-19,355,Disque SSD,Informatique,28.87,2,,Web,57.74
113,2024-11-28,164,Clavier,Informatqiue,81.41,3,Pariss,Web,244.23
114,2025-10-28,36,Écran 24 pouces,Informatique,107.98,2,Chauvindan,Web,215.96
115,2025-10-02,69,Batterie externe,Accessoire,54.69,3,Augernec,Web,164.07
116,2024-12-04,348,Clavier,Audio,129.13,1,Hebert,Web,129.13
117,2025-08-23,101,Câble USB-C,Audio,66.65,1,Dias-sur-Bouvet,Web,66.65
118,2024-12-01,488,Clavier,Informatqiue,80.42,2,Grosdan,Web,160.84
119,2025-05-09,64,Souris,Informatqiue,72.96,1,Pariss,Boutique,72.96
120,2025-01-30,270,Écran 24 pouces,Informatqiue,89.22,1,Lévêque-sur-Mer,Web,89.22
121,2025-05-10,97,Souris,Accessoire,75.77,2,Delattre,Web,151.54
122,2025-03-11,62,Casque Bluetooth,Informatique,28.89,1,,Web,28.89
123,2024-11-04,373,Clavier,Informatqiue,146.61,3,Gillet,Web,439.83
124,2025-02-23,451,Batterie externe,Audio,9.43,3,Boyer,Web,28.29
125,2024-10-31,262,Batterie externe,Informatique,70.65,5,Augernec,Web,353.25
126,2025-01-21,361,Chargeur rapide,Informatique,136.51,2,Ramos-sur-Mer,Web,273.02
127,2025-01-05,228,Casque Bluetooth,Informatique,175.18,1,,Web,175.18
128,2025-08-03,95,Câble USB-C,Informatique,102.54,1,Goncalves-sur-Roy,Boutique,102.54
129,2025-06-24,196,Câble USB-C,Audio,36.76,2,GomezBourg,Boutique,73.52
130,2025-08-16,46,Souris,Informatique,80.77,2,Leroyboeuf,Web,161.54
131,2025-06-17,290,Câble USB-C,Audio,150.19,2,Saint Gabriel,Boutique,300.38
132,2025-04-16,229,Chargeur rapide,Audio,150.33,1,,Web,150.33
133,2025-02-09,257,Écran 24 pouces,Audio,53.85,2,Meyerdan,Web,107.7
134,2024-12-29,209,Casque Bluetooth,Informatique,136.58,1,Clémentnec,Web,136.58
135,2024-12-08,489,Casque Bluetooth,Audio,195.43,2,Paris-la-Forêt,Web,390.86
136,2024-11-02,490,Chargeur rapide,Informatique,128.18,1,Mercier,Boutique,128.18
137,2025-07-23,135,Enceinte Bluetooth,Informatique,71.55,3,Leleu-sur-Weber,Web,214.65
138,2024-11-03,446,Écran 24 pouces,Accessoire,110.24,2,,Web,220.48
139,2024-11-13,273,Batterie externe,Audio,96.71,3,Pariss,Web,290.13
140,2025-08-11,219,Clavier,Informatqiue,-67.86,3,,Web,-203.58
141,2025-10-12,119,Câble USB-C,Audio,41.48,1,,Web,41.48
142,2025-08-21,55,Webcam HD,Informatique,32.94,2,LégerBourg,Web,65.88
143,2024-11-22,401,Câble USB-C,Informatique,76.4,3,,Web,229.2
144,2025-08-12,220,Enceinte Bluetooth,Audio,72.31,3,Perez,Web,216.93
145,2025-07-27,124,Webcam HD,Audio,74.09,3,Bergernec,Web,222.27
146,2025-08-16,155,Webcam HD,Informatqiue,81.03,2,Maury,Web,162.06
147,2025-01-09,138,Batterie externe,Informatqiue,151.58,2,,Marketplace,303.16
148,2024-11-20,441,Webcam HD,Audio,7.62,1,Saint Roger,Web,7.62
149,2024-11-18,233,Clavier,Accessoire,77.83,2,Pariss,Web,155.66
150,2024-12-03,107,Disque SSD,Informatique,58.54,1,Regnier-sur-Nicolas,Boutique,58.54
151,2025-04-05,156,Disque SSD,Informatique,108.98,3,Delmas,Web,326.94
152,2025-01-16,242,Écran 24 pouces,Informatique,26.24,5,Morenodan,Web,131.2
153,2025-03-17,2,Chargeur rapide,Audio,84.76,3,,Web,254.28
154,2025-07-22,359,Batterie externe,Informatqiue,144.04,1,Jean-sur-Guillaume,Marketplace,144.04
155,2025-09-15,176,Écran 24 pouces,Informatique,89.76,1,Imbert,Web,89.76
156,2025-03-07,251,Écran 24 pouces,Informatique,54.61,0,Boucher,Marketplace,0.0
157,2025-09-05,186,Disque SSD,Informatique,70.18,2,Sainte Cécile,Web,140.36
158,2025-10-25,95,Écran 24 pouces,Informatique,49.31,2,Devaux,Web,98.62
159,2025-01-02,118,Disque SSD,Informatique,141.81,2,Sainte Aurélienec,Boutique,283.62
160,2025-07-12,247,Disque SSD,Informatique,144.7,1,ChevallierBourg,Web,144.7
161,2025-05-08,422,Enceinte Bluetooth,Informatique,-109.16,2,Boucher,Marketplace,-218.32
162,2025-09-02,320,Souris,Audio,75.01,1,Normand-la-Forêt,Boutique,75.01
163,2025-04-22,390,Câble USB-C,Informatique,196.0,1,Valette,Web,196.0
164,2025-06-15,211,Chargeur rapide,Informatique,163.32,1,Besnard,Web,163.32
165,2025-08-09,224,Souris,Audio,75.01,1,Jean-sur-Guillaume,Marketplace,75.01
166,2024-12-30,446,Disque SSD,Informatique,163.74,2,,Boutique,327.48
167,2025-06-30,438,Batterie externe,Audio,166.0,2,Leconte-sur-Potier,Web,332.0
168,2025-02-24,165,Chargeur rapide,Informatique,76.04,5,MoulinVille,Boutique,380.2
169,2025-07-06,99,Écran 24 pouces,Informatique,81.11,2,Saint LorraineBourg,Web,162.22
170,2025-10-13,28,Clavier,Informatique,138.68,5,Lévêque,Marketplace,693.4
171,2025-03-18,123,Enceinte Bluetooth,Informatique,25.66,1,,Web,25.66
172,2025-05-03,438,Batterie externe,Informatique,140.97,1,Thomas,Web,140.97
173,2024-12-26,280,Souris,Informatique,42.8,5,Bousquet,Web,214.0
174,2025-10-19,190,Chargeur rapide,Accessoire,156.89,3,Tessier,Web,470.67
175,2025-10-01,356,Webcam HD,Audio,33.24,1,Millet,Web,33.24
176,2025-05-29,256,Disque SSD,Informatique,20.41,1,Goncalves-sur-Roy,Web,20.41
177,2025-09-29,443,Webcam HD,Informatqiue,40.05,2,Lebreton,Marketplace,80.1
178,2025-10-17,351,Chargeur rapide,Informatqiue,177.52,3,Lelièvre,Web,532.56
179,2025-08-10,147,Souris,Audio,73.73,3,Guillon-sur-Tessier,Web,221.19
180,2025-01-08,59,Câble USB-C,Accessoire,47.14,5,Guibert,Web,235.7
181,2025-04-10,369,Chargeur rapide,Informatique,139.85,5,,Web,699.25
182,2025-02-13,264,Casque Bluetooth,Informatique,112.94,3,,Web,338.82
183,2025-04-28,264,Câble USB-C,Informatique,174.56,3,Sainte Amélie,Boutique,523.68
184,2024-11-25,447,Souris,Audio,144.04,3,Saint Marthe,Boutique,432.12
185,2025-10-27,305,Disque SSD,Informatqiue,26.77,2,,Web,53.54
186,2025-10-28,144,Écran 24 pouces,Informatique,102.0,10,PotierVille,Web,1020.0
187,2025-04-21,210,Enceinte Bluetooth,Informatique,-146.84,3,Carlier-la-Forêt,Boutique,-440.52
188,2025-02-04,239,Câble USB-C,Informatique,106.32,3,Lambert,Boutique,318.96
189,2025-04-23,212,Batterie externe,Informatique,74.81,2,Devaux,Boutique,149.62
190,2025-02-08,125,Chargeur rapide,Informatique,69.34,5,Lebon-les-Bains,Marketplace,346.7
191,2024-11-08,102,Enceinte Bluetooth,Informatique,73.6,1,Maillard-sur-Collin,Marketplace,73.6
192,2025-08-25,236,Enceinte Bluetooth,Informatique,51.47,2,Pariss,Web,102.94
193,2025-05-28,335,Câble USB-C,Informatique,66.65,1,Vallée,Web,66.65
194,2025-09-02,167,Casque Bluetooth,Informatique,201.16,2,,Web,402.32
195,2024-12-10,241,Clavier,Informatique,41.73,2,GrégoireBourg,Boutique,83.46
196,2025-07-13,480,Enceinte Bluetooth,Informatique,26.03,5,Pariss,Web,130.15
197,2024-11-15,240,Clavier,Informatique,-80.24,2,Saint XavierVille,Web,-160.48
198,2025-05-27,172,Câble USB-C,Informatique,135.32,2,,Web,270.64
199,2025-01-06,453,Webcam HD,Informatique,5.75,3,Michel,Boutique,17.25
200,2025-04-29,419,Câble USB-C,Audio,192.24,2,Pariss,Web,384.48
201,2025-04-12,221,Chargeur rapide,Informatique,57.96,1,Martins,Web,57.96
202,2024-11-19,312,Câble USB-C,Informatique,169.54,2,Faivre,Web,339.08
203,2025-09-19,69,Disque SSD,Informatique,73.29,3,Lopezdan,Web,219.87
204,2025-05-24,116,Disque SSD,Informatique,118.56,3,Imbert,Boutique,355.68
205,2024-11-22,307,Webcam HD,Informatique,37.53,1,Sainte Audrey,Web,37.53
206,2024-11-08,483,Chargeur rapide,Informatique,159.58,5,Perret-sur-Mer,Marketplace,797.9
207,2025-04-24,272,Webcam HD,Informatique,140.63,2,Hebert,Web,281.26
208,2025-06-20,117,Webcam HD,Informatique,88.45,1,Bousquet,Marketplace,88.45
209,2025-09-23,112,Chargeur rapide,Informatqiue,125.77,5,Sainte Anaïs,Web,628.85
210,2025-09-22,347,Casque Bluetooth,Informatique,163.15,-1,Regnier-sur-Nicolas,Web,-163.15
211,2025-05-15,13,Clavier,Audio,42.85,2,Hebert,Web,85.7
212,2025-05-15,238,Webcam HD,Informatique,24.84,2,Perrier,Web,49.68
213,2025-03-06,176,Chargeur rapide,Informatqiue,169.39,1,Maurice,Boutique,169.39
214,2025-03-31,67,Disque SSD,Accessoire,-169.78,10,,Web,-1697.8
215,2025-02-03,85,Chargeur rapide,Audio,129.75,1,,Boutique,129.75
216,2025-03-05,413,Casque Bluetooth,Informatique,174.83,3,Dos Santos,Web,524.49
217,2025-04-09,260,Disque SSD,Informatique,171.67,3,,Web,515.01
218,2025-01-11,6,Disque SSD,Audio,59.03,10,Valette,Boutique,590.3
219,2025-05-14,12,Batterie externe,Informatique,129.44,3,Saint ThibaultVille,Web,388.32
220,2025-03-11,492,Chargeur rapide,Informatqiue,169.34,1,Diallodan,Web,169.34
221,2025-03-30,193,Batterie externe,Informatique,66.08,2,Dias-sur-Bouvet,Boutique,132.16
222,2025-06-30,69,Casque Bluetooth,Informatqiue,136.98,3,Ribeirodan,Web,410.94
223,2025-02-26,119,Écran 24 pouces,Informatique,106.77,1,,Web,106.77
224,2025-05-04,225,Clavier,Audio,136.09,5,Guilbert,Web,680.45
225,2025-09-11,432,Disque SSD,Accessoire,131.46,10,Joseph,Web,1314.6
226,2025-08-02,132,Écran 24 pouces,Audio,69.61,5,,Web,348.05
227,2025-09-25,92,Écran 24 pouces,Informatqiue,61.62,2,Bernard,Web,123.24
228,2024-12-02,82,Clavier,Audio,133.36,10,Robin,Web,1333.6
229,2025-10-07,155,Câble USB-C,Informatique,43.64,2,Pariss,Marketplace,87.28
230,2025-03-23,416,Écran 24 pouces,Informatique,214.84,1,Carpentier,Web,214.84
231,2025-01-22,172,Casque Bluetooth,Informatique,198.01,2,Sainte Élodie,Web,396.02
232,2025-09-28,353,Batterie externe,Informatqiue,127.65,2,,Web,255.3
233,2025-09-17,161,Clavier,Audio,29.91,2,Sainte Adèle,Web,59.82
234,2025-08-15,490,Souris,Informatique,177.04,2,Gonzalez-sur-Perrin,Web,354.08
235,2024-12-29,82,Chargeur rapide,Informatique,205.45,3,Maury,Boutique,616.35
236,2025-01-11,433,Chargeur rapide,Informatique,175.59,1,Bonnet,Boutique,175.59
237,2025-04-27,362,Souris,Informatique,46.18,1,Martineau,Web,46.18
238,2025-04-24,117,Chargeur rapide,Informatique,122.78,10,Mahe,Web,1227.8
239,2025-04-28,438,Webcam HD,Informatique,44.78,3,Lévy,Web,134.34
240,2025-02-21,173,Enceinte Bluetooth,Audio,76.35,1,Renard-sur-Turpin,Web,76.35
241,2025-10-06,297,Câble USB-C,Audio,77.37,1,,Web,77.37
242,2025-03-11,468,Souris,Informatique,165.97,1,Sainte Aurélienec,Boutique,165.97
243,2025-03-06,159,Webcam HD,Informatique,42.9,3,Becker,Boutique,128.7
244,2024-11-30,179,Disque SSD,Informatique,27.39,3,Besnarddan,Web,82.17
245,2025-05-25,213,Disque SSD,Audio,149.54,3,,Boutique,448.62
246,2025-03-28,452,Câble USB-C,Informatique,197.01,3,,Boutique,591.03
247,2025-05-26,330,Disque SSD,Audio,-177.15,2,Lamy,Web,-354.3
248,2024-12-01,9,Clavier,Informatique,161.93,3,Pariss,Web,485.79
249,2025-09-11,296,Clavier,Informatique,-84.31,1,,Web,-84.31
250,2024-12-31,39,Enceinte Bluetooth,Informatique,44.47,2,BlondelVille,Boutique,88.94
251,2025-08-09,444,Souris,Accessoire,47.02,1,Dupuy-la-Forêt,Web,47.02
252,2025-06-23,102,Câble USB-C,Accessoire,166.06,3,Saint Aimé-sur-Mer,Web,498.18
253,2025-09-15,298,Webcam HD,Informatique,75.29,2,Devaux,Boutique,150.58
254,2025-10-17,299,Batterie externe,Informatqiue,11.83,2,Hoarau-sur-Mer,Web,23.66
255,2025-09-13,99,Chargeur rapide,Informatique,120.68,1,Sainte Cécile,Web,120.68
256,2025-06-30,371,Enceinte Bluetooth,Audio,23.46,1,Lamy,Web,23.46
257,2025-02-14,165,Casque Bluetooth,Audio,82.88,3,Dupont,Web,248.64
258,2025-06-30,61,Chargeur rapide,Accessoire,127.38,5,Adam,Marketplace,636.9
259,2025-04-12,118,Câble USB-C,Informatique,139.92,2,Laurent-sur-Mer,Web,279.84
260,2025-01-26,388,Webcam HD,Informatique,30.85,5,Sainte Élodie,Web,154.25
261,2025-06-26,268,Câble USB-C,Audio,61.05,3,Hebert,Web,183.15
262,2025-03-25,74,Batterie externe,Audio,170.2,1,Pariss,Web,170.2
263,2025-03-12,250,Batterie externe,Informatique,61.36,5,Sauvage,Web,306.8
264,2024-10-30,212,Câble USB-C,Accessoire,61.01,1,Foucher-la-Forêt,Marketplace,61.01
265,2025-02-27,276,Chargeur rapide,Audio,159.05,3,Baudry-sur-Mer,Boutique,477.15
266,2025-07-29,210,Casque Bluetooth,Informatique,135.78,2,Bonnin-sur-Didier,Web,271.56
267,2024-11-06,455,Souris,Informatique,90.89,-1,Colinnec,Web,-90.89
268,2025-01-31,349,Enceinte Bluetooth,Audio,26.73,5,Marques,Boutique,133.65
269,2024-12-26,126,Enceinte Bluetooth,Informatique,68.3,3,Klein,Web,204.9
270,2025-08-02,201,Câble USB-C,Informatqiue,138.51,3,Klein,Web,415.53
271,2025-08-17,341,Webcam HD,Audio,123.93,10,Tanguy,Web,1239.3
272,2025-04-26,397,Chargeur rapide,Informatqiue,58.21,3,Grégoireboeuf,Web,174.63
273,2025-08-11,183,Batterie externe,Audio,182.87,5,Valette,Web,914.35
274,2025-06-20,212,Disque SSD,Informatique,30.27,1,DuvalVille,Web,30.27
275,2025-10-26,339,Clavier,Informatique,101.56,5,Boulay,Web,507.8
276,2025-05-16,366,Souris,Audio,-125.64,5,Chrétien-sur-Legros,Web,-628.2
277,2025-04-13,497,Webcam HD,Accessoire,128.27,3,Gilbertnec,Web,384.81
278,2025-01-05,206,Câble USB-C,Accessoire,152.63,10,Sainte MargaudVille,Web,1526.3
279,2025-03-07,467,Casque Bluetooth,Audio,86.93,3,Girard,Web,260.79
280,2025-07-01,472,Webcam HD,Informatique,106.51,2,Michaud,Boutique,213.02
281,2025-02-27,77,Chargeur rapide,Informatique,158.7,3,Saint Georgesdan,Marketplace,476.1
282,2025-01-19,402,Souris,Audio,183.52,2,Maurice,Web,367.04
283,2025-10-05,303,Webcam HD,Audio,28.73,2,Chauvindan,Web,57.46
284,2025-01-15,139,Chargeur rapide,Accessoire,185.65,3,Morel,Web,556.95
285,2025-03-09,259,Câble USB-C,Accessoire,50.0,1,Saint Anastasie-la-Forêt,Web,50.0
286,2025-05-18,217,Batterie externe,Informatique,152.48,10,,Boutique,1524.8
287,2025-06-02,246,Clavier,Audio,-20.18,2,,Marketplace,-40.36
288,2025-02-22,369,Enceinte Bluetooth,Informatique,39.57,2,Petit-sur-Mer,Web,79.14
289,2025-01-25,46,Câble USB-C,Informatique,72.12,3,,Web,216.36
290,2025-07-18,272,Batterie externe,Informatique,168.14,3,Bonnet,Boutique,504.42
291,2025-08-29,351,Enceinte Bluetooth,Informatique,44.78,2,,Web,89.56
292,2024-11-23,298,Casque Bluetooth,Informatique,144.5,1,Cordier,Web,144.5
293,2025-08-26,373,Casque Bluetooth,Audio,157.36,1,Bergernec,Web,157.36
294,2025-09-03,193,Câble USB-C,Audio,102.42,2,Saint Joseph,Web,204.84
295,2025-06-03,119,Câble USB-C,Informatqiue,21.03,10,Sainte Charlotte,Web,210.3
296,2025-01-05,332,Enceinte Bluetooth,Informatique,34.11,1,Saint Paulettedan,Boutique,34.11
297,2024-11-10,44,Écran 24 pouces,Informatique,24.28,2,Lefèvre-sur-Guibert,Marketplace,48.56
298,2025-08-30,431,Chargeur rapide,Accessoire,84.53,1,Martinez,Boutique,84.53
299,2025-06-03,43,Webcam HD,Informatique,-16.59,3,Grosdan,Web,-49.77
300,2024-12-29,341,Écran 24 pouces,Informatique,61.41,1,,Web,61.41
301,2025-06-10,461,Webcam HD,Informatique,74.79,3,Lemoine,Web,224.37
302,2025-03-05,273,Enceinte Bluetooth,Informatique,-157.23,1,Louis-sur-Fernandes,Web,-157.23
303,2024-11-13,299,Chargeur rapide,Accessoire,152.4,1,Ribeiro-les-Bains,Web,152.4
304,2025-01-09,344,Chargeur rapide,Informatique,173.8,2,MercierBourg,Web,347.6
305,2025-02-05,109,Enceinte Bluetooth,Informatique,55.89,3,LégerBourg,Web,167.67
306,2025-01-06,461,Câble USB-C,Audio,196.56,1,,Marketplace,196.56
307,2025-09-19,216,Clavier,Audio,145.13,2,,Web,290.26
308,2025-07-25,468,Enceinte Bluetooth,Audio,54.96,2,Guillou,Marketplace,109.92
309,2025-02-13,256,Chargeur rapide,Informatqiue,98.82,2,Sanchez,Boutique,197.64
310,2025-02-08,199,Câble USB-C,Audio,58.41,2,Moreno,Web,116.82
311,2025-04-18,372,Chargeur rapide,Informatique,123.56,3,Leleu-sur-Weber,Web,370.68
312,2025-08-19,25,Disque SSD,Informatqiue,147.83,0,Bernard,Boutique,0.0
